text@dch1988m	@dch1988m	45.784	46.556	угу
text@dch1988m	@dch1988m	52.86	54.022	ну вохоже на правду / да
text@dch1988m	@dch1988m	55.697	60.386	да нет конечно // э / ну хорош / всё / я наотдыхался
text@dch1988m	@dch1988m	62.625	63.318	угу
text@dch1988m	@dch1988m	66.075	67.075	#смеется#
text@dch1988m	@dch1988m	68.512	71.785	ээ / ну я дохрена написал материала
text@dch1988m	@dch1988m	73.977	75.596	было // но я продолжал
text@dch1988m	@dch1988m	76.083	83.863	ну знаешь / есть / я однажды посмотрел ээ / видос  где / Стивен Кинг и Джордж Мартин друг у друга берут интервью 
text@dch1988m	@dch1988m	84.687	91.704	и там  шт / вот / был / кусочек / который изменил мою жизнь / когда Джордж Мартин у Стивена Кинга спрашивает / каким хером ты пишешь так много книг? 
text@dch1988m	@dch1988m	93.62	102.728	и Стивен говорит / я просто пишу шесть страниц в день // не оценивая их / не редактируя /  просто я встаю / пишу шесть страниц / потом иду / тусуюсь с детьми / с женой 
text@dch1988m	@dch1988m	103.246	115.839	я такой / уау так  / ну / до этого у меня было типа / надо встать и написать разъёбов! страницу разъёбов просто // иногда я типа / в слезах с пустой страницей до э / часу ночи
text@dch1988m	@dch1988m	115.839	122.345	а щас встал / написал три страницы / и пошёл заниматься делами / и оказалось что э / в целом пишется х... лучше и быстрее
text@dch1988m	@dch1988m	125.554	133.469	 да // то есть мне стоит в моём этом / списке дел / три страницы без каких-то дополнительных э / пометок / всё / сел / написал / кинул в блокнот / пошёл
text@dch1988m	@dch1988m	135.987	137.37	да / всё
text@dch1988m	@dch1988m	138.814	145.703	да / это всегда вот все сценарные сценарные работы такие /  всё там / с обе... возвращаемся с обеда из вкусвилла такие  всё! пишем разъёбы!
text@dch1988m	@dch1988m	147.406	149.419	чё / давайте в контру? #смеётся#
text@dch1988m	@dch1988m	154.616	155.049	угу
text@dch1988m	@dch1988m	172.419	188.345	ну это страх // просто типа страх // мозг же тебя бережёт / э / ну от / всех / разочарований в жизни / и о... как бы его абсолютно логичная реакция такая / если ты ничего не напишешь / тебя никто и не осудит / братан / ничего не будет плохого //
text@dch1988m	@dch1988m	188.728	198.172	и е... а если ты садишься с какой-то мотивацией просто написать и / самого себя повеселить / мозг тебе в этом тоже ну он тоже за тебя / и он такой / вот тогда вот такая идея
text@dch1988m	@dch1988m	199.74	210.33	да / он / ну типа ты себя ви... пытаешься  развеселить // не человека там / который у тебя принимает сценарий или / людей / который там / вечером придут на выступление // ты себя веселишь / и в конечном итоге это лучше / для всех
text@dch1988m	@dch1988m	215.992	216.543	угу
text@dch1988m	@dch1988m	217.58	217.941	да
text@dch1988m	@dch1988m	220.021	220.683	легче #нрзб#
text@dch1988m	@dch1988m	221.69	222.11	угу
text@dch1988m	@dch1988m	226.587	240.816	да / абсолютно // даже ещё наверно больше как-то / потому что прям / это супер важно / э / постоянно вот не пропускать день / иначе ты потом / так / а что я хотел сказать вообще? чего?
text@dch1988m	@dch1988m	242.332	245.183	у меня / по крайней мере / да // может / я туповатый в этом плане / я не знаю
text@dch1988m	@dch1988m	245.583	260.066	я ещё где-то у кого-то / типа / дневник какого-то писателя читал / а / и он пришёл к выводу / что надо писать / и не дописывать кусок / который ты придумал / чтобы на следующий день ты сел и продолжил этот кусок вкатился обратно в этот flow
text@dch1988m	@dch1988m	262.332	265.283	правда похоже на / очень на / то / как надо это делать
text@dch1988m	@dch1988m	276.848	277.798	ну я пишу
text@dch1988m	@dch1988m	280.716	284.466	а я пишу в / в рерайтингом // то есть я вообще не / то есть сажусь
text@dch1988m	@dch1988m	284.999	291.266	такой / так! / собаки // всё я пишу слово собаки и потом пишу что пишется // я не // э / вообще не мм
text@dch1988m	@dch1988m	291.799	308.333	да / не думаю это заранее // я просто пишу пишу пишу пишу / иногда если прям что-то пришла формулировка я её / встаю / беру маркер / рассказываю зрителям / потом кладу обратно / сажусь записываю / то / это вот в лучшем случае // обычно просто вот отвратительным почерком три страницы пишу / и всё / и / до свидания
text@dch1988m	@dch1988m	314.033	315.5	да любого / мне кажется / дела
text@dch1988m	@dch1988m	319.166	319.649	угу
text@dch1988m	@dch1988m	326.882	328.249	конечно / да
